Designator,Mid X,Mid Y,Rotation,layer
U1,255.270000,-108.839000,180.000000,top
C1,205.638400,-95.084900,90.000000,top
C2,263.652000,-117.602000,270.000000,top
C3,266.712700,-92.544900,90.000000,top
C4,217.576400,-99.441000,180.000000,top
C5,253.822200,-91.719400,0.000000,top
C6,262.775700,-98.958400,90.000000,top
C7,258.622800,-97.523300,270.000000,top
C8,221.996000,-99.593400,90.000000,top
C9,221.386400,-118.897400,270.000000,top
C10,212.471000,-105.283000,0.000000,top
C11,211.328000,-100.203000,180.000000,top
C12,211.201000,-112.522000,0.000000,top
C13,211.074000,-117.602000,180.000000,top
C14,201.536300,-98.564700,0.000000,top
C15,199.390000,-113.665000,0.000000,top
C17,224.663000,-118.897400,270.000000,top
C18,236.601000,-127.762000,90.000000,top
C19,201.536300,-91.363800,180.000000,top
C20,207.476000,-91.262200,0.000000,top
C21,232.642500,-126.746000,0.000000,top
C22,196.596000,-71.628000,180.000000,top
C26,212.115400,-74.218800,270.000000,top
C27,193.967100,-102.158800,180.000000,top
C28,259.207000,-120.650000,0.000000,top
C29,239.903000,-54.102000,0.000000,top
C30,196.646800,-78.892400,0.000000,top
C31,239.014000,-57.404000,0.000000,top
C32,197.485000,-44.958000,90.000000,top
C33,193.421000,-42.189400,0.000000,top
C34,285.369000,-130.048000,180.000000,top
C35,273.177000,-121.539000,90.000000,top
C36,285.644500,-115.062000,0.000000,top
C37,275.590000,-115.443000,90.000000,top
C38,278.384000,-115.443000,270.000000,top
C39,285.369000,-103.124000,0.000000,top
C40,213.880700,-91.097100,90.000000,top
C42,196.723000,-75.416500,90.000000,top
C44,238.252000,-42.164000,0.000000,top
FST3253,221.107000,-110.591600,180.000000,top
R1,266.712700,-96.850200,90.000000,top
R2,263.334500,-92.570300,270.000000,top
R3,221.297500,-92.265500,270.000000,top
R4,218.770200,-95.821500,180.000000,top
R5,218.617800,-102.809800,90.000000,top
R6,236.702600,-59.944000,0.000000,top
R7,253.746000,-101.269800,180.000000,top
R8,211.217000,-110.363000,180.000000,top
R9,211.201000,-107.696000,180.000000,top
R10,213.106000,-102.743000,180.000000,top
R11,211.201000,-115.570000,180.000000,top
R12,212.090000,-69.697600,90.000000,top
R13,201.409300,-95.008700,180.000000,top
R14,199.390000,-116.713000,180.000000,top
R15,214.630000,-69.646800,270.000000,top
R16,200.533000,-69.342000,180.000000,top
R17,204.012800,-79.425800,180.000000,top
R18,200.549000,-72.644000,180.000000,top
R19,208.254600,-79.425800,0.000000,top
R20,280.670000,-82.296000,90.000000,top
R21,262.128000,-78.740000,180.000000,top
R22,241.722400,-78.714600,0.000000,top
R23,200.549000,-75.946000,0.000000,top
R24,207.010000,-70.281800,270.000000,top
R25,193.421000,-45.974000,0.000000,top
R26,246.507000,-45.212000,270.000000,top
R27,276.987000,-45.796200,270.000000,top
R28,204.216000,-119.253000,0.000000,top
R29,241.477800,-59.918600,0.000000,top
R30,220.726000,-73.406000,180.000000,top
R31,215.988900,-73.431400,180.000000,top
